Wavelength,red,blue
466,0.0,0.00269096955138
467,0.0,0.00311939267484
468,0.0,0.00360307392374
469,0.0,0.00413551900007
470,5.02791282705e-08,0.00471739967867
471,0.0,0.0053268816592
472,0.0,0.00595702323451
473,0.0,0.00656529168405
474,5.58842298082e-08,0.00715686840419
475,0.0,0.00770563139131
476,0.0,0.0080773972833
477,0.0,0.00834827829158
478,0.0,0.00846140020291
479,0.0,0.00843868509206
480,8.98336225639e-09,0.00826636043729
481,4.16711985002e-08,0.00794870979448
482,0.0,0.00759474496746
483,0.0,0.00710645630294
484,0.0,0.0066646628594
485,0.0,0.00613384066506
486,0.0,0.00565408962068
487,0.0,0.00520833263776
488,5.28990799208e-08,0.00479224021131
489,1.18948879121e-09,0.00444118230339
490,0.0,0.0041403604206
491,0.0,0.00387626884838
492,0.0,0.00362583518768
493,0.0,0.00340064689161
494,0.0,0.00319421405841
495,0.0,0.00300175915065
496,0.0,0.00277762903956
497,0.0,0.0025600745077
498,0.0,0.00236844198524
499,2.8764422981e-09,0.00218994267513
500,5.16044851409e-08,0.00199107310985
501,0.0,0.00182270416244
502,0.0,0.00166175511656
503,0.0,0.00151125063499
504,0.0,0.0013573214925
505,0.0,0.00123082570489
506,3.26403261946e-08,0.00110738433159
507,1.97054062392e-08,0.00101331578468
508,5.90951266092e-08,0.000935466674399
509,0.0,0.000857823883853
510,0.0,0.000788980874668
511,0.0,0.000732770016428
512,1.44894692866e-07,0.000670222388595
513,1.27625933071e-08,0.000609976098447
514,0.0,0.000568879881614
515,0.0,0.000529755292843
516,3.46633037911e-08,0.000483157190652
517,1.48943808355e-08,0.000447776723817
518,0.0,0.000407836816673
519,0.0,0.000372668405112
520,0.0,0.000339904111094
521,3.54823213181e-08,0.000314139719488
522,1.24905081281e-08,0.000282940361623
523,1.19330059886e-07,0.000249215069189
524,0.0,0.000230538955587
525,9.56283720279e-08,0.000211349878408
526,8.61423829207e-08,0.000195020250137
527,0.0,0.0001738719129
528,0.0,0.000158039506973
529,1.36050203585e-08,0.000147767740265
530,3.07367719741e-08,0.000135410975421
531,3.67984769197e-08,0.00012862377755
532,5.56099982029e-08,0.000119377973123
533,0.0,0.000108431715124
534,0.0,9.87312238751e-05
535,1.09195594966e-06,9.01242877779e-05
536,6.49422090437e-07,8.35009985435e-05
537,8.2307007635e-07,7.93834971813e-05
538,6.38890972781e-09,7.25527027343e-05
539,3.53585527866e-08,6.65111490259e-05
540,0.0,5.98802924869e-05
541,3.97888530635e-08,5.75896263553e-05
542,2.13647541795e-09,5.31851446821e-05
543,4.40204268559e-08,4.53229878857e-05
544,4.026310263e-08,4.51031678091e-05
545,4.31449544957e-08,3.89062571869e-05
546,0.0,3.62722774196e-05
547,1.47621912711e-07,3.49501698364e-05
548,1.16294220542e-08,3.19513374623e-05
549,2.92056800445e-08,3.04029286881e-05
550,0.0,2.6888609455e-05
551,0.0,2.32988392736e-05
552,0.0,2.20408012749e-05
553,0.0,2.00079183827e-05
554,0.0,1.83560263335e-05
555,0.0,1.62160564309e-05
556,0.0,1.95189828459e-05
557,0.0,1.65777510356e-05
558,0.0,1.3562066033e-05
559,0.0,1.44297510175e-05
560,0.0,1.30817823625e-05
